"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
21,200,7.12,-0.446580333593193,0.993803067020449
21,200,7.120015,-0.446943300472316,0.993765112544355
21,200,7.12003,-0.447309630085238,0.993726673538108
21,200,7.120045,-0.447679369382929,0.993687741379925
21,200,7.12006,-0.448052566192675,0.99364830725219
21,200,7.120075,-0.448429269238433,0.993608362136064
21,200,7.12009,-0.448809528162021,0.993567896805891
21,200,7.120105,-0.449193393544826,0.993526901823436
21,200,7.12012,-0.449580916929798,0.99348536753196
21,200,7.120135,-0.449972150844752,0.993443284050035
21,200,7.12015,-0.45036714882568,0.993400641265224
21,200,7.120165,-0.450765965441142,0.993357428827499
21,200,7.12018,-0.451168656317079,0.993313636142481
21,200,7.120195,-0.451575278162616,0.993269252364419
21,200,7.12021,-0.45198588879649,0.993224266388942
21,200,7.120225,-0.452400547174129,0.993178666845583
21,200,7.12024,-0.452819313415808,0.993132442090022
21,200,7.120255,-0.453242248835407,0.993085580196077
21,200,7.12027,-0.453669415970117,0.993038068947424
21,200,7.120285,-0.45410087861106,0.992989895829017
21,200,7.1203,-0.454536701834674,0.992941048018228
21,200,7.120315,-0.454976952035351,0.99289151237565
21,200,7.12033,-0.455421696958819,0.992841275435599
21,200,7.120345,-0.455871005736487,0.992790323396292
21,200,7.12036,-0.456324948921126,0.992738642109636
21,200,7.120375,-0.456783598523374,0.992686217070693
21,200,7.12039,-0.457247028049602,0.99263303340674
21,200,7.120405,-0.457715312540679,0.992579075865962
21,200,7.12042,-0.45818852861228,0.992524328805704
21,200,7.120435,-0.458666754496182,0.992468776180321
21,200,7.12045,-0.459150070083099,0.992412401528562
21,200,7.120465,-0.459638556966592,0.992355187960524
21,200,7.12048,-0.460132298488756,0.99229711814407
21,200,7.120495,-0.460631379786956,0.992238174290807
21,200,7.12051,-0.461135887842459,0.992178338141478
21,200,7.120525,-0.461645911530437,0.992117590950842
21,200,7.12054,-0.46216154167159,0.992055913471978
21,200,7.120555,-0.462682871085512,0.991993285939986
21,200,7.12057,-0.463209994645899,0.991929688055063
21,200,7.120585,-0.463743009337428,0.991865098964935
21,200,7.1206,-0.464282014314636,0.991799497246613
21,200,7.120615,-0.464827110962728,0.991732860887436
21,200,7.12063,-0.465378402960538,0.991665167265362
21,200,7.120645,-0.465935996345462,0.991596393128509
21,200,7.12066,-0.466499999580712,0.991526514573872
21,200,7.120675,-0.467070523624889,0.99145550702519
21,200,7.12069,-0.467647682003756,0.991383345209962
21,200,7.120705,-0.468231590884941,0.99131000313547
21,200,7.12072,-0.468822369154719,0.991235454063918
21,200,7.120735,-0.469420138497912,0.991159670486486
21,200,7.12075,-0.47002502348021,0.991082624096389
21,200,7.120765,-0.470637151633824,0.991004285760771
21,200,7.12078,-0.471256653545987,0.990924625491455
21,200,7.120795,-0.471883662950465,0.990843612414511
21,200,7.12081,-0.47251831682276,0.990761214738486
