"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
11,200,7.113,-0.435844713019617,0.996049037587619
11,200,7.113025,-0.436149859488797,0.996025845638385
11,200,7.11305,-0.436457815141123,0.996002346106002
11,200,7.113075,-0.436768619057247,0.995978533406772
11,200,7.1131,-0.437082311044979,0.995954401828654
11,200,7.113125,-0.437398931656279,0.995929945527694
11,200,7.11315,-0.437718522204655,0.995905158524339
11,200,7.113175,-0.438041124783239,0.995880034699625
11,200,7.1132,-0.438366782283042,0.995854567791252
11,200,7.113225,-0.43869553841205,0.995828751389518
11,200,7.11325,-0.43902743771467,0.995802578933121
11,200,7.113275,-0.439362525591844,0.995776043704819
11,200,7.1133,-0.439700848321725,0.995749138826946
11,200,7.113325,-0.440042453080835,0.99572185725678
11,200,7.11335,-0.440387387966025,0.995694191781747
11,200,7.113375,-0.440735702016932,0.995666135014468
11,200,7.1134,-0.441087445239169,0.995637679387632
11,200,7.113425,-0.441442668628269,0.995608817148685
11,200,7.11345,-0.441801424194086,0.99557954035436
11,200,7.113475,-0.442163764986259,0.99554984086499
11,200,7.1135,-0.442529745120182,0.995519710338635
11,200,7.113525,-0.442899419803888,0.995489140225001
11,200,7.11355,-0.443272845365758,0.995458121759143
11,200,7.113575,-0.443650079282933,0.99542664595495
11,200,7.1136,-0.444031180210772,0.995394703598389
11,200,7.113625,-0.44441620801312,0.995362285240513
11,200,7.11365,-0.444805223793517,0.995329381190217
11,200,7.113675,-0.44519828992746,0.995295981506721
11,200,7.1137,-0.445595470095493,0.995262075991805
11,200,7.113725,-0.445996829317552,0.995227654181728
11,200,7.11375,-0.446402433988231,0.995192705338877
11,200,7.113775,-0.446812351913244,0.995157218443086
11,200,7.1138,-0.44722665234713,0.995121182182642
11,200,7.113825,-0.447645406031932,0.995084584944964
11,200,7.11385,-0.448068685237334,0.995047414806914
11,200,7.113875,-0.448496563802045,0.995009659524754
11,200,7.1139,-0.448929117176485,0.994971306523716
11,200,7.113925,-0.449366422467028,0.994932342887169
11,200,7.11395,-0.449808558481371,0.994892755345394
11,200,7.113975,-0.450255605775776,0.994852530263895
11,200,7.114,-0.450707646703698,0.99481165363127
11,200,7.114025,-0.451164765465981,0.994770111046618
11,200,7.11405,-0.451627048163058,0.994727887706422
11,200,7.114075,-0.45209458284842,0.994684968390955
11,200,7.1141,-0.452567459584369,0.994641337450116
11,200,7.114125,-0.453045770499409,0.994596978788709
11,200,7.11415,-0.453529609847718,0.994551875851137
11,200,7.114175,-0.454019074070765,0.994506011605458
11,200,7.1142,-0.454514261860788,0.994459368526827
11,200,7.114225,-0.455015274226822,0.99441192858023
11,200,7.11425,-0.45552221456283,0.994363673202526
11,200,7.114275,-0.456035188718365,0.994314583283739
11,200,7.1143,-0.456554305071769,0.994264639147571
11,200,7.114325,-0.457079674605859,0.994213820531113
11,200,7.11435,-0.457611410986452,0.994162106563683
11,200,7.114375,-0.458149630643768,0.994109475744787
11,200,7.1144,-0.458694452856632,0.994055905921128
11,200,7.114425,-0.459245999840159,0.994001374262621
11,200,7.11445,-0.459804396836074,0.993945857237415
11,200,7.114475,-0.460369772206961,0.993889330585779
11,200,7.1145,-0.460942257533675,0.993831769292889
11,200,7.114525,-0.461521987716642,0.993773147560394
11,200,7.11455,-0.462109101080919,0.993713438776734
11,200,7.114575,-0.462703739485108,0.993652615486148
11,200,7.1146,-0.463306048434653,0.993590649356288
11,200,7.114625,-0.46391617719945,0.993527511144359
11,200,7.11465,-0.464534278935945,0.993463170661753
11,200,7.114675,-0.465160510814219,0.993397596737037
11,200,7.1147,-0.465795034149698,0.993330757177276
11,200,7.114725,-0.466438014540391,0.993262618727547
11,200,7.11475,-0.467089622009528,0.993193147028566
11,200,7.114775,-0.467750031153747,0.993122306572357
11,200,7.1148,-0.468419421297705,0.993050060655775
11,200,7.114825,-0.469097976654263,0.992976371331907
11,200,7.11485,-0.469785886491876,0.992901199359077
11,200,7.114875,-0.470483345308572,0.992824504147425
11,200,7.1149,-0.471190553013083,0.99274624370292
11,200,7.114925,-0.471907715113881,0.992666374568585
11,200,7.11495,-0.472635042915612,0.992584851762915
11,200,7.114975,-0.47337275372436,0.992501628715174
11,200,7.115,-0.474121071061302,0.992416657197523
11,200,7.115025,-0.474880224885692,0.992329887253721
11,200,7.11505,-0.475650451827597,0.992241267124207
11,200,7.115075,-0.476431995430344,0.992150743167428
11,200,7.1151,-0.477225106403949,0.992058259777081
11,200,7.115125,-0.478030042889657,0.991963759295103
11,200,7.11515,-0.478847070736135,0.991867181920151
11,200,7.115175,-0.479676463788224,0.991768465611251
11,200,7.1152,-0.480518504188328,0.991667545986428
11,200,7.115225,-0.481373482691927,0.991564356215883
11,200,7.11525,-0.482241698997212,0.991458826909495
11,200,7.115275,-0.483123462090279,0.991350885998198
11,200,7.1153,-0.484019090605692,0.991240458609004
11,200,7.115325,-0.484928913204645,0.991127466933079
11,200,7.11535,-0.485853268970442,0.991011830086599
11,200,7.115375,-0.486792507823088,0.990893463963832
11,200,7.1154,-0.487746990953613,0.990772281081983
11,200,7.115425,-0.488717091279083,0.990648190417316
11,200,7.11545,-0.489703193920206,0.990521097231867
11,200,7.115475,-0.490705696701946,0.990390902890273
11,200,7.1155,-0.491725010679045,0.990257504665951
11,200,7.115525,-0.492761560687905,0.990120795535959
11,200,7.11555,-0.493815785925566,0.989980663963857
11,200,7.115575,-0.494888140558517,0.989836993669611
11,200,7.1156,-0.495979094362409,0.989689663385755
11,200,7.115625,-0.49708913339457,0.98953854659886
11,200,7.11565,-0.498218760701596,0.989383511275239
11,200,7.115675,-0.499368497063617,0.989224419569874
11,200,7.1157,-0.500538881778043,0.989061127517284
11,200,7.115725,-0.501730473484856,0.988893484703143
11,200,7.11575,-0.502943851036353,0.988721333915158
11,200,7.115775,-0.504179614413839,0.988544510771814
11,200,7.1158,-0.505438385693969,0.988362843327363
11,200,7.115825,-0.5067208100689,0.988176151651192
11,200,7.11585,-0.508027556922553,0.987984247379821
11,200,7.115875,-0.509359320967405,0.987786933239372
11,200,7.1159,-0.510716823445776,0.987584002536283
11,200,7.115925,-0.512100813398848,0.98737523861398
11,200,7.11595,-0.513512069009333,0.987160414272691
11,200,7.115975,-0.51495139902222,0.986939291149611
11,200,7.116,-0.51641964424791,0.986711619056455
11,200,7.116025,-0.517917679155732,0.986477135270668
11,200,7.11605,-0.519446413560728,0.986235563777114
11,200,7.116075,-0.521006794413909,0.985986614455654
11,200,7.1161,-0.522599807699972,0.98572998221074
11,200,7.116125,-0.524226480452689,0.985465346037837
11,200,7.11615,-0.52588788289485,0.985192368021676
11,200,7.116175,-0.527585130711805,0.984910692260615
11,200,7.1162,-0.52931938746959,0.984619943710653
11,200,7.116225,-0.531091867187095,0.984319726942413
11,200,7.11625,-0.53290383707394,0.984009624803539
11,200,7.116275,-0.534756620447684,0.983689196978069
11,200,7.1163,-0.536651599841733,0.983357978434049
11,200,7.116325,-0.538590220320943,0.983015477749048
11,200,7.11635,-0.540573993019758,0.982661175302777
11,200,7.116375,-0.542604498920314,0.982294521324718
11,200,7.1164,-0.544683392890534,0.981914933783234
11,200,7.116425,-0.546812408000525,0.981521796101869
11,200,7.11645,-0.548993360143589,0.981114454685883
11,200,7.116475,-0.551228152982543,0.980692216241762
11,200,7.1165,-0.553518783251703,0.980254344869153
11,200,7.116525,-0.555867346441916,0.979800058903527
11,200,7.11655,-0.558276042901424,0.979328527484983
11,200,7.116575,-0.560747184388115,0.978838866825979
11,200,7.1166,-0.563283201112893,0.97833013614751
