,G_CP [um],L_CP [um],Ql,Qi_min,Qc,f_res [GHz]
0,1,200,3035.7721925141,223900.7206320136,3035.7721925141,7.0961175
1,6,200,7248.380102052454,317944.213284604,7248.380102052454,7.1034125
2,11,200,10169.178571426466,460643.1365923151,10169.178571426466,7.118425
3,16,200,12161.01709399743,1030826747.6539656,12161.01709399743,7.114195
4,21,200,14390.38383838639,462855.5184311477,14390.38383838639,7.123239999999999
5,26,200,15794.472222196686,1550521.9514979261,15794.472222196686,7.1075125
6,31,200,17261.242424226904,787603.8944441685,17261.242424226904,7.1202625
