"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
26,200,7.105,-0.459174026291524,0.991649405342342
26,200,7.1050125,-0.459625930203321,0.991593541220015
26,200,7.105025,-0.460082320659493,0.991536916778362
26,200,7.1050375,-0.460543264712422,0.99147951757062
26,200,7.10505,-0.461008830753213,0.991421328799442
26,200,7.1050625,-0.461479088545621,0.991362335306508
26,200,7.105075,-0.461954109260254,0.991302521561856
26,200,7.1050875,-0.462433965510052,0.991241871652822
26,200,7.1051,-0.462918731387198,0.991180369272537
26,200,7.1051125,-0.463408482500491,0.99111799770811
26,200,7.105125,-0.463903296014579,0.991054739828305
26,200,7.1051375,-0.464403250689861,0.990990578070835
26,200,7.10515,-0.464908426923726,0.990925494429201
26,200,7.1051625,-0.465418906793488,0.990859470439002
26,200,7.105175,-0.465934774099958,0.990792487163836
26,200,7.1051875,-0.466456114413106,0.990724525180602
26,200,7.1052,-0.46698301511876,0.990655564564312
26,200,7.1052125,-0.467515565466544,0.990585584872386
26,200,7.105225,-0.468053856620263,0.990514565128234
26,200,7.1052375,-0.468597981708674,0.990442483804403
26,200,7.10525,-0.469148035879011,0.990369318804944
26,200,7.1052625,-0.469704116351667,0.99029504744719
26,200,7.105275,-0.470266322476415,0.990219646442881
26,200,7.1052875,-0.470834755791454,0.99014309187845
26,200,7.1053,-0.471409520083091,0.990065359194725
26,200,7.1053125,-0.471990721448596,0.989986423165686
26,200,7.105325,-0.472578468360478,0.98990625787651
26,200,7.1053375,-0.473172871732893,0.98982483670076
26,200,7.10535,-0.473774044990738,0.989742132276612
26,200,7.1053625,-0.474382104140625,0.989658116482239
26,200,7.105375,-0.474997167844539,0.989572760410157
26,200,7.1053875,-0.475619357496194,0.989486034340561
26,200,7.1054,-0.476248797299096,0.989397907713697
26,200,7.1054125,-0.476885614348819,0.989308349100934
26,200,7.105425,-0.477529938716641,0.989217326174879
26,200,7.1054375,-0.478181903537271,0.9891248056781
26,200,7.10545,-0.478841645098935,0.9890307533907
26,200,7.1054625,-0.479509302936772,0.988935134096523
26,200,7.105475,-0.480185019930159,0.988837911547892
26,200,7.1054875,-0.480868942402367,0.988739048429039
26,200,7.1055,-0.481561220225185,0.988638506317812
26,200,7.1055125,-0.482262006926399,0.98853624564592
26,200,7.105525,-0.482971459801082,0.988432225657483
26,200,7.1055375,-0.483689740027961,0.988326404365712
26,200,7.10555,-0.484417012788856,0.988218738507886
26,200,7.1055625,-0.485153447393609,0.988109183498238
26,200,7.105575,-0.485899217409133,0.987997693378898
26,200,7.1055875,-0.486654500792916,0.987884220768736
26,200,7.1056,-0.487419480032913,0.987768716809768
26,200,7.1056125,-0.488194342290999,0.987651131111464
26,200,7.105625,-0.488979279553486,0.987531411692339
26,200,7.1056375,-0.489774488786632,0.987409504919059
26,200,7.10565,-0.490580172097799,0.987285355442859
26,200,7.1056625,-0.49139653690434,0.98715890613287
26,200,7.105675,-0.49222379610719,0.987030098006693
26,200,7.1056875,-0.493062168273051,0.986898870157525
26,200,7.1057,-0.493911877822857,0.986765159678078
26,200,7.1057125,-0.494773155227671,0.986628901580955
26,200,7.105725,-0.495646237213442,0.986490028715177
26,200,7.1057375,-0.496531366972537,0.986348471679002
26,200,7.10575,-0.497428794385693,0.986204158728328
26,200,7.1057625,-0.498338776251629,0.986057015680964
26,200,7.105775,-0.499261576526518,0.985906965816228
26,200,7.1057875,-0.500197466574241,0.985753929769575
26,200,7.1058,-0.501146725425493,0.985597825422336
26,200,7.1058125,-0.502109640049789,0.985438567785741
26,200,7.105825,-0.503086505637397,0.985276068879478
26,200,7.1058375,-0.504077625893767,0.985110237604127
26,200,7.10585,-0.505083313347414,0.984940979607097
26,200,7.1058625,-0.506103889669719,0.984768197142012
26,200,7.105875,-0.507139686010093,0.984591788920748
26,200,7.1058875,-0.508191043345089,0.984411649957998
26,200,7.1059,-0.509258312842473,0.984227671407943
26,200,7.1059125,-0.51034185624306,0.984039740392158
26,200,7.105925,-0.511442046257833,0.983847739818854
26,200,7.1059375,-0.512559266984589,0.983651548192312
26,200,7.10595,-0.513693914342697,0.983451039412374
26,200,7.1059625,-0.514846396527203,0.983246082563303
26,200,7.105975,-0.516017134485927,0.98303654169093
26,200,7.1059875,-0.517206562416006,0.982822275568186
26,200,7.106,-0.518415128286164,0.982603137447379
26,200,7.1060125,-0.519643294382338,0.982378974799073
26,200,7.106025,-0.520891537878666,0.982149629036561
26,200,7.1060375,-0.522160351438058,0.98191493522453
26,200,7.10605,-0.523450243838666,0.98167472177187
26,200,7.1060625,-0.524761740633921,0.981428810106452
26,200,7.106075,-0.526095384842648,0.981177014331722
26,200,7.1060875,-0.527451737673528,0.980919140863402
