"Freq [GHz]","mag(S(2,1)) []","ang_rad(S(2,1)) []"
6,0.999882481957927,-0.291692365922768
6.005,0.999882393935065,-0.291935460792281
6.01,0.999882305851824,-0.292178555950819
6.015,0.999882217708283,-0.292421651402691
6.02,0.999882129504526,-0.292664747152284
6.025,0.999882041240636,-0.292907843204067
6.03,0.999881952916696,-0.293150939562592
6.035,0.999881864532793,-0.293394036232495
6.04,0.999881776089014,-0.293637133218501
6.045,0.999881687585446,-0.29388023052542
6.05,0.99988159902218,-0.294123328158158
6.055,0.999881510399305,-0.294366426121709
6.06,0.999881421716915,-0.294609524421167
6.065,0.999881332975102,-0.29485262306172
6.07,0.999881244173962,-0.295095722048658
6.075,0.99988115531359,-0.295338821387372
6.08,0.999881066394086,-0.295581921083359
6.085,0.999880977415548,-0.295825021142224
6.09,0.999880888378078,-0.29606812156968
6.095,0.999880799281777,-0.296311222371554
6.1,0.999880710126751,-0.296554323553788
6.105,0.999880620913105,-0.296797425122444
6.11,0.999880531640948,-0.297040527083703
6.115,0.999880442310387,-0.297283629443871
6.12,0.999880352921536,-0.297526732209384
6.125,0.999880263474507,-0.297769835386804
6.13,0.999880173969414,-0.298012938982832
6.135,0.999880084406376,-0.298256043004303
6.14,0.999879994785511,-0.298499147458195
6.145,0.99987990510694,-0.29874225235163
6.15,0.999879815370787,-0.298985357691878
6.155,0.999879725577176,-0.299228463486363
6.16,0.999879635726236,-0.299471569742662
6.165,0.999879545818097,-0.299714676468518
6.17,0.99987945585289,-0.299957783671832
6.175,0.999879365830751,-0.30020089136068
6.18,0.999879275751816,-0.300443999543308
6.185,0.999879185616225,-0.300687108228141
6.19,0.99987909542412,-0.300930217423789
6.195,0.999879005175648,-0.301173327139047
6.2,0.999878914870954,-0.301416437382907
6.205,0.99987882451019,-0.301659548164557
6.21,0.999878734093509,-0.30190265949339
6.215,0.999878643621068,-0.302145771379009
6.22,0.999878553093027,-0.302388883831232
6.225,0.999878462509547,-0.3026319968601
6.23,0.999878371870795,-0.30287511047588
6.235,0.999878281176939,-0.303118224689077
6.24,0.999878190428154,-0.303361339510435
6.245,0.999878099624615,-0.303604454950945
6.25,0.999878008766502,-0.303847571021858
6.255,0.999877917853998,-0.304090687734682
6.26,0.999877826887291,-0.304333805101201
6.265,0.999877735866573,-0.304576923133474
6.27,0.999877644792038,-0.30482004184385
6.275,0.999877553663888,-0.30506316124497
6.28,0.999877462482325,-0.305306281349782
6.285,0.999877371247558,-0.305549402171547
6.29,0.9998772799598,-0.305792523723849
6.295,0.99987718861927,-0.306035646020604
6.3,0.999877097226189,-0.306278769076074
6.305,0.999877005780786,-0.30652189290487
6.31,0.999876914283294,-0.306765017521974
6.315,0.999876822733951,-0.30700814294274
6.32,0.999876731133,-0.307251269182911
6.325,0.999876639480692,-0.307494396258632
6.33,0.999876547777281,-0.307737524186461
6.335,0.999876456023029,-0.307980652983381
6.34,0.999876364218204,-0.308223782666818
6.345,0.99987627236308,-0.308466913254651
6.35,0.999876180457938,-0.308710044765229
6.355,0.999876088503065,-0.308953177217387
6.36,0.999875996498756,-0.309196310630462
6.365,0.999875904445314,-0.309439445024308
6.37,0.999875812343049,-0.309682580419315
6.375,0.999875720192278,-0.309925716836428
6.38,0.999875627993327,-0.310168854297162
6.385,0.99987553574653,-0.310411992823627
6.39,0.999875443452231,-0.310655132438546
6.395,0.999875351110781,-0.310898273165276
6.4,0.999875258722541,-0.311141415027829
6.405,0.999875166287884,-0.311384558050899
6.41,0.999875073807188,-0.311627702259883
6.415,0.999874981280847,-0.311870847680909
6.42,0.999874888709261,-0.312113994340857
6.425,0.999874796092845,-0.312357142267395
6.43,0.999874703432022,-0.312600291489
6.435,0.999874610727229,-0.312843442034991
6.44,0.999874517978916,-0.313086593935561
6.445,0.999874425187544,-0.313329747221809
6.45,0.999874332353588,-0.313572901925773
6.455,0.999874239477538,-0.313816058080469
6.46,0.999874146559898,-0.314059215719925
6.465,0.999874053601184,-0.314302374879222
6.47,0.999873960601931,-0.314545535594533
6.475,0.999873867562691,-0.314788697903171
6.48,0.999873774484028,-0.315031861843628
6.485,0.999873681366527,-0.315275027455624
6.49,0.999873588210791,-0.315518194780158
6.495,0.99987349501744,-0.315761363859559
6.5,0.999873401787116,-0.31600453473754
6.505,0.999873308520479,-0.316247707459255
6.51,0.999873215218213,-0.316490882071358
6.515,0.999873121881021,-0.316734058622067
6.52,0.999873028509632,-0.316977237161232
6.525,0.999872935104798,-0.3172204177404
6.53,0.999872841667294,-0.31746360041289
6.535,0.999872748197925,-0.317706785233872
6.54,0.999872654697521,-0.317949972260445
6.545,0.999872561166941,-0.318193161551723
6.55,0.999872467607073,-0.318436353168923
6.555,0.999872374018839,-0.318679547175465
6.56,0.999872280403189,-0.318922743637064
6.565,0.999872186761111,-0.319165942621841
6.57,0.999872093093627,-0.319409144200431
6.575,0.999871999401797,-0.319652348446102
6.58,0.999871905686717,-0.319895555434874
6.585,0.999871811949529,-0.320138765245659
6.59,0.999871718191414,-0.320381977960387
6.595,0.999871624413599,-0.320625193664165
6.6,0.999871530617357,-0.320868412445421
6.605,0.999871436804012,-0.321111634396075
6.61,0.99987134297494,-0.321354859611711
6.615,0.99987124913157,-0.321598088191758
6.62,0.999871155275388,-0.321841320239692
6.625,0.999871061407941,-0.322084555863237
6.63,0.999870967530839,-0.322327795174591
6.635,0.999870873645759,-0.322571038290656
6.64,0.999870779754448,-0.322814285333291
6.645,0.999870685858725,-0.323057536429573
6.65,0.999870591960488,-0.323300791712084
6.655,0.999870498061718,-0.323544051319211
6.66,0.999870404164481,-0.323787315395464
6.665,0.999870310270936,-0.324030584091824
6.67,0.999870216383336,-0.324273857566103
6.675,0.999870122504037,-0.324517135983339
6.68,0.999870028635504,-0.324760419516213
6.685,0.999869934780315,-0.325003708345499
6.69,0.999869840941169,-0.325247002660537
6.695,0.999869747120894,-0.325490302659755
6.7,0.999869653322453,-0.325733608551215
6.705,0.999869559548954,-0.325976920553205
6.71,0.999869465803656,-0.326220238894878
6.715,0.999869372089985,-0.326463563816936
6.72,0.999869278411535,-0.326706895572364
6.725,0.999869184772087,-0.326950234427225
6.73,0.999869091175619,-0.327193580661519
6.735,0.999868997626316,-0.327436934570102
6.74,0.999868904128589,-0.327680296463688
6.745,0.999868810687085,-0.327923666669931
6.75,0.999868717306707,-0.328167045534593
6.755,0.99986862399263,-0.328410433422809
6.76,0.999868530750321,-0.328653830720472
6.765,0.99986843758556,-0.328897237835722
6.77,0.999868344504463,-0.329140655200572
6.775,0.999868251513506,-0.329384083272687
6.78,0.999868158619552,-0.329627522537309
6.785,0.999868065829882,-0.329870973509366
6.79,0.999867973152226,-0.330114436735785
6.795,0.999867880594797,-0.330357912798008
6.8,0.999867788166333,-0.330601402314761
6.805,0.999867695876137,-0.330844905945093
6.81,0.999867603734124,-0.331088424391716
6.815,0.999867511750874,-0.331331958404677
6.82,0.999867419937683,-0.331575508785414
6.825,0.999867328306634,-0.331819076391236
6.83,0.999867236870659,-0.332062662140278
6.835,0.999867145643621,-0.332306267016988
6.84,0.999867054640391,-0.332549892078229
6.845,0.999866963876952,-0.33279353846006
6.85,0.999866873370498,-0.333037207385296
6.855,0.999866783139552,-0.33328090017195
6.86,0.9998666932041,-0.333524618242683
6.865,0.999866603585734,-0.333768363135397
6.87,0.999866514307821,-0.334012136515146
6.875,0.999866425395688,-0.334255940187557
6.88,0.999866336876831,-0.334499776113981
6.885,0.999866248781153,-0.334743646428651
6.89,0.999866161141234,-0.33498755345816
6.895,0.999866073992637,-0.335231499743635
6.9,0.999865987374259,-0.335475488066043
6.905,0.999865901328729,-0.335719521475173
6.91,0.999865815902868,-0.335963603322923
6.915,0.999865731148219,-0.336207737301658
6.92,0.999865647121655,-0.336451927488563
6.925,0.999865563886086,-0.336696178397117
6.93,0.999865481511289,-0.336940495037058
6.935,0.999865400074861,-0.337184882984513
6.94,0.999865319663357,-0.337429348464368
6.945,0.999865240373611,-0.33767389844745
6.95,0.999865162314318,-0.337918540765706
6.955,0.999865085607901,-0.338163284249414
6.96,0.999865010392753,-0.338408138891487
6.965,0.999864936825929,-0.338653116045332
6.97,0.999864865086397,-0.338898228664544
6.975,0.999864795379006,-0.339143491595117
6.98,0.99986472793933,-0.339388921934124
6.985,0.999864663039661,-0.339634539473186
6.99,0.999864600996452,-0.339880367251079
6.995,0.999864542179641,-0.340126432248161
7,0.999864487024451,-0.34037276626696
7.005,0.999864436046461,-0.340619407059889
7.01,0.999864389861036,-0.340866399788968
7.015,0.999864349208695,-0.341113798937457
7.02,0.999864314988627,-0.34136167084552
7.025,0.999864288303584,-0.341610097121251
7.03,0.999864270520918,-0.341859179301139
7.035,0.999864263356985,-0.342109045328623
7.04,0.999864268996034,-0.342359858735755
7.045,0.999864290261232,-0.342611831942111
7.05,0.999864330866562,-0.342865245998919
7.055,0.999864395798021,-0.343120480742845
7.06,0.999864491908692,-0.343378062379254
7.065,0.99986462888197,-0.343638741501639
7.07,0.999864820858786,-0.343903626970387
7.075,0.999865089330989,-0.344174428632023
7.08,0.99986546861807,-0.344453928291157
7.085,0.999866017075901,-0.344746975902844
7.09,0.999866842460656,-0.345062850324743
7.095,0.999868167545314,-0.345421810402646
