G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
22,200,7.06,0.999640559,2.782736485
22,200,7.060000164,0.999640542,2.782735369
22,200,7.060000328,0.999640524,2.782734253
22,200,7.060000492,0.999640507,2.782733136
22,200,7.060000656,0.999640489,2.78273202
22,200,7.06000082,0.999640472,2.782730903
22,200,7.060000984,0.999640455,2.782729786
22,200,7.060001148,0.999640437,2.782728669
22,200,7.060001311,0.99964042,2.782727552
22,200,7.060001475,0.999640402,2.782726434
22,200,7.060001639,0.999640385,2.782725317
22,200,7.060001803,0.999640367,2.782724199
22,200,7.060001967,0.99964035,2.782723081
22,200,7.060002131,0.999640332,2.782721963
22,200,7.060002295,0.999640315,2.782720845
22,200,7.060002459,0.999640297,2.782719726
22,200,7.060002623,0.99964028,2.782718607
22,200,7.060002787,0.999640262,2.782717489
22,200,7.060002951,0.999640245,2.78271637
22,200,7.060003115,0.999640227,2.78271525
22,200,7.060003279,0.99964021,2.782714131
22,200,7.060003443,0.999640192,2.782713012
22,200,7.060003607,0.999640175,2.782711892
22,200,7.06000377,0.999640157,2.782710772
22,200,7.060003934,0.99964014,2.782709652
22,200,7.060004098,0.999640122,2.782708532
22,200,7.060004262,0.999640105,2.782707411
22,200,7.060004426,0.999640087,2.782706291
22,200,7.06000459,0.99964007,2.78270517
22,200,7.060004754,0.999640052,2.782704049
22,200,7.060004918,0.999640034,2.782702928
22,200,7.060005082,0.999640017,2.782701807
22,200,7.060005246,0.999639999,2.782700685
22,200,7.06000541,0.999639982,2.782699564
22,200,7.060005574,0.999639964,2.782698442
22,200,7.060005738,0.999639947,2.78269732
22,200,7.060005902,0.999639929,2.782696198
22,200,7.060006066,0.999639912,2.782695075
22,200,7.06000623,0.999639894,2.782693953
22,200,7.060006393,0.999639876,2.78269283
22,200,7.060006557,0.999639859,2.782691707
22,200,7.060006721,0.999639841,2.782690584
22,200,7.060006885,0.999639824,2.782689461
22,200,7.060007049,0.999639806,2.782688338
22,200,7.060007213,0.999639788,2.782687214
22,200,7.060007377,0.999639771,2.78268609
22,200,7.060007541,0.999639753,2.782684966
22,200,7.060007705,0.999639736,2.782683842
22,200,7.060007869,0.999639718,2.782682718
22,200,7.060008033,0.9996397,2.782681593
22,200,7.060008197,0.999639683,2.782680469
22,200,7.060008361,0.999639665,2.782679344
22,200,7.060008525,0.999639647,2.782678219
22,200,7.060008689,0.99963963,2.782677094
22,200,7.060008852,0.999639612,2.782675969
22,200,7.060009016,0.999639594,2.782674843
22,200,7.06000918,0.999639577,2.782673717
22,200,7.060009344,0.999639559,2.782672592
22,200,7.060009508,0.999639542,2.782671466
22,200,7.060009672,0.999639524,2.782670339
22,200,7.060009836,0.999639506,2.782669213
22,200,7.06001,0.999639489,2.782668086
22,200,7.060010164,0.999639471,2.78266696
22,200,7.060010328,0.999639453,2.782665833
22,200,7.060010492,0.999639435,2.782664706
22,200,7.060010656,0.999639418,2.782663578
22,200,7.06001082,0.9996394,2.782662451
22,200,7.060010984,0.999639382,2.782661323
22,200,7.060011148,0.999639365,2.782660195
22,200,7.060011311,0.999639347,2.782659067
22,200,7.060011475,0.999639329,2.782657939
22,200,7.060011639,0.999639312,2.782656811
22,200,7.060011803,0.999639294,2.782655682
22,200,7.060011967,0.999639276,2.782654554
22,200,7.060012131,0.999639258,2.782653425
22,200,7.060012295,0.999639241,2.782652296
22,200,7.060012459,0.999639223,2.782651167
22,200,7.060012623,0.999639205,2.782650037
22,200,7.060012787,0.999639187,2.782648908
22,200,7.060012951,0.99963917,2.782647778
22,200,7.060013115,0.999639152,2.782646648
22,200,7.060013279,0.999639134,2.782645518
22,200,7.060013443,0.999639116,2.782644387
22,200,7.060013607,0.999639099,2.782643257
22,200,7.06001377,0.999639081,2.782642126
22,200,7.060013934,0.999639063,2.782640996
22,200,7.060014098,0.999639045,2.782639865
22,200,7.060014262,0.999639028,2.782638733
22,200,7.060014426,0.99963901,2.782637602
22,200,7.06001459,0.999638992,2.78263647
22,200,7.060014754,0.999638974,2.782635339
22,200,7.060014918,0.999638956,2.782634207
22,200,7.060015082,0.999638939,2.782633075
22,200,7.060015246,0.999638921,2.782631943
22,200,7.06001541,0.999638903,2.78263081
22,200,7.060015574,0.999638885,2.782629678
22,200,7.060015738,0.999638867,2.782628545
22,200,7.060015902,0.99963885,2.782627412
22,200,7.060016066,0.999638832,2.782626279
22,200,7.06001623,0.999638814,2.782625145
22,200,7.060016393,0.999638796,2.782624012
22,200,7.060016557,0.999638778,2.782622878
22,200,7.060016721,0.99963876,2.782621744
22,200,7.060016885,0.999638743,2.78262061
22,200,7.060017049,0.999638725,2.782619476
22,200,7.060017213,0.999638707,2.782618342
22,200,7.060017377,0.999638689,2.782617207
22,200,7.060017541,0.999638671,2.782616072
22,200,7.060017705,0.999638653,2.782614937
22,200,7.060017869,0.999638635,2.782613802
22,200,7.060018033,0.999638618,2.782612667
22,200,7.060018197,0.9996386,2.782611532
22,200,7.060018361,0.999638582,2.782610396
22,200,7.060018525,0.999638564,2.78260926
22,200,7.060018689,0.999638546,2.782608124
22,200,7.060018852,0.999638528,2.782606988
22,200,7.060019016,0.99963851,2.782605852
22,200,7.06001918,0.999638492,2.782604715
22,200,7.060019344,0.999638474,2.782603578
22,200,7.060019508,0.999638457,2.782602441
22,200,7.060019672,0.999638439,2.782601304
22,200,7.060019836,0.999638421,2.782600167
22,200,7.06002,0.999638403,2.78259903
22,200,7.060020164,0.999638385,2.782597892
22,200,7.060020328,0.999638367,2.782596754
22,200,7.060020492,0.999638349,2.782595616
22,200,7.060020656,0.999638331,2.782594478
22,200,7.06002082,0.999638313,2.78259334
22,200,7.060020984,0.999638295,2.782592201
22,200,7.060021148,0.999638277,2.782591063
22,200,7.060021311,0.999638259,2.782589924
22,200,7.060021475,0.999638241,2.782588785
22,200,7.060021639,0.999638223,2.782587646
22,200,7.060021803,0.999638205,2.782586506
22,200,7.060021967,0.999638187,2.782585367
22,200,7.060022131,0.999638169,2.782584227
22,200,7.060022295,0.999638151,2.782583087
22,200,7.060022459,0.999638133,2.782581947
22,200,7.060022623,0.999638115,2.782580806
22,200,7.060022787,0.999638097,2.782579666
22,200,7.060022951,0.999638079,2.782578525
22,200,7.060023115,0.999638061,2.782577384
22,200,7.060023279,0.999638043,2.782576243
22,200,7.060023443,0.999638025,2.782575102
22,200,7.060023607,0.999638007,2.782573961
22,200,7.06002377,0.999637989,2.782572819
22,200,7.060023934,0.999637971,2.782571677
22,200,7.060024098,0.999637953,2.782570535
22,200,7.060024262,0.999637935,2.782569393
22,200,7.060024426,0.999637917,2.782568251
22,200,7.06002459,0.999637899,2.782567109
22,200,7.060024754,0.999637881,2.782565966
22,200,7.060024918,0.999637863,2.782564823
22,200,7.060025082,0.999637845,2.78256368
22,200,7.060025246,0.999637827,2.782562537
22,200,7.06002541,0.999637809,2.782561394
22,200,7.060025574,0.999637791,2.78256025
22,200,7.060025738,0.999637773,2.782559106
22,200,7.060025902,0.999637755,2.782557962
22,200,7.060026066,0.999637737,2.782556818
22,200,7.06002623,0.999637719,2.782555674
22,200,7.060026393,0.999637701,2.78255453
22,200,7.060026557,0.999637683,2.782553385
22,200,7.060026721,0.999637664,2.78255224
22,200,7.060026885,0.999637646,2.782551095
22,200,7.060027049,0.999637628,2.78254995
22,200,7.060027213,0.99963761,2.782548804
22,200,7.060027377,0.999637592,2.782547659
22,200,7.060027541,0.999637574,2.782546513
22,200,7.060027705,0.999637556,2.782545367
22,200,7.060027869,0.999637538,2.782544221
22,200,7.060028033,0.99963752,2.782543075
22,200,7.060028197,0.999637501,2.782541928
22,200,7.060028361,0.999637483,2.782540782
22,200,7.060028525,0.999637465,2.782539635
22,200,7.060028689,0.999637447,2.782538488
22,200,7.060028852,0.999637429,2.782537341
22,200,7.060029016,0.999637411,2.782536193
22,200,7.06002918,0.999637393,2.782535046
22,200,7.060029344,0.999637374,2.782533898
22,200,7.060029508,0.999637356,2.78253275
22,200,7.060029672,0.999637338,2.782531602
22,200,7.060029836,0.99963732,2.782530454
22,200,7.06003,0.999637302,2.782529305
22,200,7.060030164,0.999637284,2.782528157
22,200,7.060030328,0.999637265,2.782527008
22,200,7.060030492,0.999637247,2.782525859
22,200,7.060030656,0.999637229,2.78252471
22,200,7.06003082,0.999637211,2.78252356
22,200,7.060030984,0.999637193,2.782522411
22,200,7.060031148,0.999637174,2.782521261
22,200,7.060031311,0.999637156,2.782520111
22,200,7.060031475,0.999637138,2.782518961
22,200,7.060031639,0.99963712,2.782517811
22,200,7.060031803,0.999637102,2.78251666
22,200,7.060031967,0.999637083,2.78251551
22,200,7.060032131,0.999637065,2.782514359
22,200,7.060032295,0.999637047,2.782513208
22,200,7.060032459,0.999637029,2.782512057
22,200,7.060032623,0.99963701,2.782510905
22,200,7.060032787,0.999636992,2.782509754
22,200,7.060032951,0.999636974,2.782508602
22,200,7.060033115,0.999636956,2.78250745
22,200,7.060033279,0.999636937,2.782506298
22,200,7.060033443,0.999636919,2.782505146
22,200,7.060033607,0.999636901,2.782503993
22,200,7.06003377,0.999636883,2.782502841
22,200,7.060033934,0.999636864,2.782501688
22,200,7.060034098,0.999636846,2.782500535
22,200,7.060034262,0.999636828,2.782499382
22,200,7.060034426,0.999636809,2.782498228
22,200,7.06003459,0.999636791,2.782497075
22,200,7.060034754,0.999636773,2.782495921
22,200,7.060034918,0.999636755,2.782494767
22,200,7.060035082,0.999636736,2.782493613
22,200,7.060035246,0.999636718,2.782492459
22,200,7.06003541,0.9996367,2.782491304
22,200,7.060035574,0.999636681,2.782490149
22,200,7.060035738,0.999636663,2.782488995
22,200,7.060035902,0.999636645,2.78248784
22,200,7.060036066,0.999636626,2.782486684
22,200,7.06003623,0.999636608,2.782485529
22,200,7.060036393,0.99963659,2.782484373
22,200,7.060036557,0.999636571,2.782483218
22,200,7.060036721,0.999636553,2.782482062
22,200,7.060036885,0.999636535,2.782480905
22,200,7.060037049,0.999636516,2.782479749
22,200,7.060037213,0.999636498,2.782478593
22,200,7.060037377,0.999636479,2.782477436
22,200,7.060037541,0.999636461,2.782476279
22,200,7.060037705,0.999636443,2.782475122
22,200,7.060037869,0.999636424,2.782473965
22,200,7.060038033,0.999636406,2.782472807
22,200,7.060038197,0.999636388,2.78247165
22,200,7.060038361,0.999636369,2.782470492
22,200,7.060038525,0.999636351,2.782469334
22,200,7.060038689,0.999636332,2.782468176
22,200,7.060038852,0.999636314,2.782467017
22,200,7.060039016,0.999636296,2.782465859
22,200,7.06003918,0.999636277,2.7824647
22,200,7.060039344,0.999636259,2.782463541
22,200,7.060039508,0.99963624,2.782462382
22,200,7.060039672,0.999636222,2.782461223
22,200,7.060039836,0.999636203,2.782460064
22,200,7.06004,0.999636185,2.782458904
22,200,7.060040164,0.999636167,2.782457744
22,200,7.060040328,0.999636148,2.782456584
22,200,7.060040492,0.99963613,2.782455424
22,200,7.060040656,0.999636111,2.782454263
22,200,7.06004082,0.999636093,2.782453103
22,200,7.060040984,0.999636074,2.782451942
22,200,7.060041148,0.999636056,2.782450781
22,200,7.060041311,0.999636037,2.78244962
22,200,7.060041475,0.999636019,2.782448459
22,200,7.060041639,0.999636,2.782447297
22,200,7.060041803,0.999635982,2.782446136
22,200,7.060041967,0.999635963,2.782444974
22,200,7.060042131,0.999635945,2.782443812
22,200,7.060042295,0.999635927,2.78244265
22,200,7.060042459,0.999635908,2.782441487
22,200,7.060042623,0.99963589,2.782440325
22,200,7.060042787,0.999635871,2.782439162
22,200,7.060042951,0.999635852,2.782437999
22,200,7.060043115,0.999635834,2.782436836
22,200,7.060043279,0.999635815,2.782435672
22,200,7.060043443,0.999635797,2.782434509
22,200,7.060043607,0.999635778,2.782433345
22,200,7.06004377,0.99963576,2.782432181
22,200,7.060043934,0.999635741,2.782431017
22,200,7.060044098,0.999635723,2.782429853
22,200,7.060044262,0.999635704,2.782428688
22,200,7.060044426,0.999635686,2.782427524
22,200,7.06004459,0.999635667,2.782426359
22,200,7.060044754,0.999635649,2.782425194
22,200,7.060044918,0.99963563,2.782424029
22,200,7.060045082,0.999635611,2.782422863
22,200,7.060045246,0.999635593,2.782421698
22,200,7.06004541,0.999635574,2.782420532
22,200,7.060045574,0.999635556,2.782419366
22,200,7.060045738,0.999635537,2.7824182
22,200,7.060045902,0.999635519,2.782417033
22,200,7.060046066,0.9996355,2.782415867
22,200,7.06004623,0.999635481,2.7824147
22,200,7.060046393,0.999635463,2.782413533
22,200,7.060046557,0.999635444,2.782412366
22,200,7.060046721,0.999635426,2.782411199
22,200,7.060046885,0.999635407,2.782410032
22,200,7.060047049,0.999635388,2.782408864
22,200,7.060047213,0.99963537,2.782407696
22,200,7.060047377,0.999635351,2.782406528
22,200,7.060047541,0.999635332,2.78240536
22,200,7.060047705,0.999635314,2.782404192
22,200,7.060047869,0.999635295,2.782403023
22,200,7.060048033,0.999635276,2.782401854
22,200,7.060048197,0.999635258,2.782400685
22,200,7.060048361,0.999635239,2.782399516
22,200,7.060048525,0.999635221,2.782398347
22,200,7.060048689,0.999635202,2.782397178
22,200,7.060048852,0.999635183,2.782396008
22,200,7.060049016,0.999635165,2.782394838
22,200,7.06004918,0.999635146,2.782393668
22,200,7.060049344,0.999635127,2.782392498
22,200,7.060049508,0.999635108,2.782391327
22,200,7.060049672,0.99963509,2.782390157
22,200,7.060049836,0.999635071,2.782388986
22,200,7.06005,0.999635052,2.782387815
22,200,7.060050164,0.999635034,2.782386644
22,200,7.060050328,0.999635015,2.782385472
22,200,7.060050492,0.999634996,2.782384301
22,200,7.060050656,0.999634978,2.782383129
22,200,7.06005082,0.999634959,2.782381957
22,200,7.060050984,0.99963494,2.782380785
22,200,7.060051148,0.999634921,2.782379613
22,200,7.060051311,0.999634903,2.78237844
22,200,7.060051475,0.999634884,2.782377268
22,200,7.060051639,0.999634865,2.782376095
22,200,7.060051803,0.999634846,2.782374922
22,200,7.060051967,0.999634828,2.782373748
22,200,7.060052131,0.999634809,2.782372575
22,200,7.060052295,0.99963479,2.782371401
22,200,7.060052459,0.999634771,2.782370228
22,200,7.060052623,0.999634753,2.782369054
22,200,7.060052787,0.999634734,2.782367879
22,200,7.060052951,0.999634715,2.782366705
22,200,7.060053115,0.999634696,2.78236553
22,200,7.060053279,0.999634678,2.782364356
22,200,7.060053443,0.999634659,2.782363181
22,200,7.060053607,0.99963464,2.782362006
22,200,7.06005377,0.999634621,2.78236083
22,200,7.060053934,0.999634602,2.782359655
22,200,7.060054098,0.999634584,2.782358479
22,200,7.060054262,0.999634565,2.782357303
22,200,7.060054426,0.999634546,2.782356127
22,200,7.06005459,0.999634527,2.782354951
22,200,7.060054754,0.999634508,2.782353774
22,200,7.060054918,0.999634489,2.782352598
22,200,7.060055082,0.999634471,2.782351421
22,200,7.060055246,0.999634452,2.782350244
22,200,7.06005541,0.999634433,2.782349067
22,200,7.060055574,0.999634414,2.782347889
22,200,7.060055738,0.999634395,2.782346712
22,200,7.060055902,0.999634376,2.782345534
22,200,7.060056066,0.999634358,2.782344356
22,200,7.06005623,0.999634339,2.782343178
22,200,7.060056393,0.99963432,2.782342
22,200,7.060056557,0.999634301,2.782340821
22,200,7.060056721,0.999634282,2.782339642
22,200,7.060056885,0.999634263,2.782338464
22,200,7.060057049,0.999634244,2.782337284
22,200,7.060057213,0.999634225,2.782336105
22,200,7.060057377,0.999634206,2.782334926
22,200,7.060057541,0.999634188,2.782333746
22,200,7.060057705,0.999634169,2.782332566
22,200,7.060057869,0.99963415,2.782331386
22,200,7.060058033,0.999634131,2.782330206
22,200,7.060058197,0.999634112,2.782329025
22,200,7.060058361,0.999634093,2.782327845
22,200,7.060058525,0.999634074,2.782326664
22,200,7.060058689,0.999634055,2.782325483
22,200,7.060058852,0.999634036,2.782324302
22,200,7.060059016,0.999634017,2.782323121
22,200,7.06005918,0.999633998,2.782321939
22,200,7.060059344,0.999633979,2.782320757
22,200,7.060059508,0.99963396,2.782319575
22,200,7.060059672,0.999633941,2.782318393
22,200,7.060059836,0.999633923,2.782317211
22,200,7.06006,0.999633904,2.782316028
22,200,7.060060164,0.999633885,2.782314846
22,200,7.060060328,0.999633866,2.782313663
22,200,7.060060492,0.999633847,2.78231248
22,200,7.060060656,0.999633828,2.782311296
22,200,7.06006082,0.999633809,2.782310113
22,200,7.060060984,0.99963379,2.782308929
22,200,7.060061148,0.999633771,2.782307745
22,200,7.060061311,0.999633752,2.782306561
22,200,7.060061475,0.999633733,2.782305377
22,200,7.060061639,0.999633714,2.782304193
22,200,7.060061803,0.999633695,2.782303008
22,200,7.060061967,0.999633676,2.782301823
22,200,7.060062131,0.999633657,2.782300638
22,200,7.060062295,0.999633638,2.782299453
22,200,7.060062459,0.999633619,2.782298268
22,200,7.060062623,0.999633599,2.782297082
22,200,7.060062787,0.99963358,2.782295897
22,200,7.060062951,0.999633561,2.782294711
22,200,7.060063115,0.999633542,2.782293524
22,200,7.060063279,0.999633523,2.782292338
22,200,7.060063443,0.999633504,2.782291152
22,200,7.060063607,0.999633485,2.782289965
22,200,7.06006377,0.999633466,2.782288778
22,200,7.060063934,0.999633447,2.782287591
22,200,7.060064098,0.999633428,2.782286404
22,200,7.060064262,0.999633409,2.782285216
22,200,7.060064426,0.99963339,2.782284029
22,200,7.06006459,0.999633371,2.782282841
22,200,7.060064754,0.999633352,2.782281653
22,200,7.060064918,0.999633332,2.782280464
22,200,7.060065082,0.999633313,2.782279276
22,200,7.060065246,0.999633294,2.782278087
22,200,7.06006541,0.999633275,2.782276899
22,200,7.060065574,0.999633256,2.78227571
22,200,7.060065738,0.999633237,2.78227452
22,200,7.060065902,0.999633218,2.782273331
22,200,7.060066066,0.999633199,2.782272141
22,200,7.06006623,0.99963318,2.782270952
22,200,7.060066393,0.99963316,2.782269762
22,200,7.060066557,0.999633141,2.782268572
22,200,7.060066721,0.999633122,2.782267381
22,200,7.060066885,0.999633103,2.782266191
22,200,7.060067049,0.999633084,2.782265
22,200,7.060067213,0.999633065,2.782263809
22,200,7.060067377,0.999633045,2.782262618
22,200,7.060067541,0.999633026,2.782261427
22,200,7.060067705,0.999633007,2.782260235
22,200,7.060067869,0.999632988,2.782259043
22,200,7.060068033,0.999632969,2.782257851
22,200,7.060068197,0.99963295,2.782256659
22,200,7.060068361,0.99963293,2.782255467
22,200,7.060068525,0.999632911,2.782254275
22,200,7.060068689,0.999632892,2.782253082
22,200,7.060068852,0.999632873,2.782251889
22,200,7.060069016,0.999632854,2.782250696
22,200,7.06006918,0.999632834,2.782249503
22,200,7.060069344,0.999632815,2.782248309
22,200,7.060069508,0.999632796,2.782247116
22,200,7.060069672,0.999632777,2.782245922
22,200,7.060069836,0.999632757,2.782244728
22,200,7.06007,0.999632738,2.782243534
22,200,7.060070164,0.999632719,2.782242339
22,200,7.060070328,0.9996327,2.782241145
22,200,7.060070492,0.99963268,2.78223995
22,200,7.060070656,0.999632661,2.782238755
22,200,7.06007082,0.999632642,2.78223756
22,200,7.060070984,0.999632623,2.782236365
22,200,7.060071148,0.999632603,2.782235169
22,200,7.060071311,0.999632584,2.782233973
22,200,7.060071475,0.999632565,2.782232777
22,200,7.060071639,0.999632545,2.782231581
22,200,7.060071803,0.999632526,2.782230385
22,200,7.060071967,0.999632507,2.782229188
22,200,7.060072131,0.999632488,2.782227992
22,200,7.060072295,0.999632468,2.782226795
22,200,7.060072459,0.999632449,2.782225598
22,200,7.060072623,0.99963243,2.7822244
22,200,7.060072787,0.99963241,2.782223203
22,200,7.060072951,0.999632391,2.782222005
22,200,7.060073115,0.999632372,2.782220807
22,200,7.060073279,0.999632352,2.782219609
22,200,7.060073443,0.999632333,2.782218411
22,200,7.060073607,0.999632314,2.782217213
22,200,7.06007377,0.999632294,2.782216014
22,200,7.060073934,0.999632275,2.782214815
22,200,7.060074098,0.999632256,2.782213616
22,200,7.060074262,0.999632236,2.782212417
22,200,7.060074426,0.999632217,2.782211217
22,200,7.06007459,0.999632198,2.782210018
22,200,7.060074754,0.999632178,2.782208818
22,200,7.060074918,0.999632159,2.782207618
22,200,7.060075082,0.999632139,2.782206418
22,200,7.060075246,0.99963212,2.782205217
22,200,7.06007541,0.999632101,2.782204017
22,200,7.060075574,0.999632081,2.782202816
22,200,7.060075738,0.999632062,2.782201615
22,200,7.060075902,0.999632042,2.782200414
22,200,7.060076066,0.999632023,2.782199212
22,200,7.06007623,0.999632004,2.782198011
22,200,7.060076393,0.999631984,2.782196809
22,200,7.060076557,0.999631965,2.782195607
22,200,7.060076721,0.999631945,2.782194405
22,200,7.060076885,0.999631926,2.782193203
22,200,7.060077049,0.999631906,2.782192
22,200,7.060077213,0.999631887,2.782190797
22,200,7.060077377,0.999631868,2.782189594
22,200,7.060077541,0.999631848,2.782188391
22,200,7.060077705,0.999631829,2.782187188
22,200,7.060077869,0.999631809,2.782185984
22,200,7.060078033,0.99963179,2.782184781
22,200,7.060078197,0.99963177,2.782183577
22,200,7.060078361,0.999631751,2.782182373
22,200,7.060078525,0.999631731,2.782181168
22,200,7.060078689,0.999631712,2.782179964
22,200,7.060078852,0.999631692,2.782178759
22,200,7.060079016,0.999631673,2.782177554
22,200,7.06007918,0.999631653,2.782176349
22,200,7.060079344,0.999631634,2.782175144
22,200,7.060079508,0.999631614,2.782173938
22,200,7.060079672,0.999631595,2.782172733
22,200,7.060079836,0.999631575,2.782171527
22,200,7.06008,0.999631556,2.782170321
22,200,7.060080164,0.999631536,2.782169115
22,200,7.060080328,0.999631517,2.782167908
22,200,7.060080492,0.999631497,2.782166701
22,200,7.060080656,0.999631478,2.782165495
22,200,7.06008082,0.999631458,2.782164288
22,200,7.060080984,0.999631439,2.78216308
22,200,7.060081148,0.999631419,2.782161873
22,200,7.060081311,0.999631399,2.782160665
22,200,7.060081475,0.99963138,2.782159457
