G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
22,120,7.1595,0.9988968,-0.352857306
22,120,7.159500042,0.998896519,-0.352863653
22,120,7.159500083,0.998896238,-0.352870002
22,120,7.159500125,0.998895956,-0.352876354
22,120,7.159500167,0.998895675,-0.352882709
22,120,7.159500208,0.998895393,-0.352889065
22,120,7.15950025,0.998895111,-0.352895424
22,120,7.159500292,0.998894829,-0.352901786
22,120,7.159500333,0.998894547,-0.35290815
22,120,7.159500375,0.998894265,-0.352914516
22,120,7.159500417,0.998893983,-0.352920884
22,120,7.159500458,0.9988937,-0.352927255
22,120,7.1595005,0.998893417,-0.352933628
22,120,7.159500542,0.998893135,-0.352940004
22,120,7.159500583,0.998892852,-0.352946382
22,120,7.159500625,0.998892569,-0.352952762
22,120,7.159500667,0.998892285,-0.352959145
22,120,7.159500708,0.998892002,-0.35296553
22,120,7.15950075,0.998891718,-0.352971918
22,120,7.159500792,0.998891435,-0.352978308
22,120,7.159500833,0.998891151,-0.3529847
22,120,7.159500875,0.998890867,-0.352991094
22,120,7.159500917,0.998890583,-0.352997491
22,120,7.159500958,0.998890298,-0.353003891
22,120,7.159501,0.998890014,-0.353010293
22,120,7.159501042,0.998889729,-0.353016697
22,120,7.159501083,0.998889445,-0.353023103
22,120,7.159501125,0.99888916,-0.353029512
22,120,7.159501167,0.998888875,-0.353035924
22,120,7.159501208,0.99888859,-0.353042337
22,120,7.15950125,0.998888304,-0.353048754
22,120,7.159501292,0.998888019,-0.353055172
22,120,7.159501333,0.998887733,-0.353061593
22,120,7.159501375,0.998887447,-0.353068016
22,120,7.159501417,0.998887162,-0.353074442
22,120,7.159501458,0.998886875,-0.35308087
22,120,7.1595015,0.998886589,-0.353087301
22,120,7.159501542,0.998886303,-0.353093734
22,120,7.159501583,0.998886016,-0.353100169
22,120,7.159501625,0.99888573,-0.353106607
22,120,7.159501667,0.998885443,-0.353113047
22,120,7.159501708,0.998885156,-0.353119489
22,120,7.15950175,0.998884869,-0.353125934
22,120,7.159501792,0.998884582,-0.353132382
22,120,7.159501833,0.998884294,-0.353138832
22,120,7.159501875,0.998884007,-0.353145284
22,120,7.159501917,0.998883719,-0.353151739
22,120,7.159501958,0.998883431,-0.353158196
22,120,7.159502,0.998883143,-0.353164655
22,120,7.159502042,0.998882855,-0.353171117
22,120,7.159502083,0.998882567,-0.353177581
22,120,7.159502125,0.998882278,-0.353184048
22,120,7.159502167,0.99888199,-0.353190517
22,120,7.159502208,0.998881701,-0.353196989
22,120,7.15950225,0.998881412,-0.353203463
22,120,7.159502292,0.998881123,-0.353209939
22,120,7.159502333,0.998880834,-0.353216418
22,120,7.159502375,0.998880545,-0.353222899
22,120,7.159502417,0.998880255,-0.353229383
22,120,7.159502458,0.998879965,-0.353235869
22,120,7.1595025,0.998879676,-0.353242358
22,120,7.159502542,0.998879386,-0.353248849
22,120,7.159502583,0.998879096,-0.353255342
22,120,7.159502625,0.998878805,-0.353261838
22,120,7.159502667,0.998878515,-0.353268337
22,120,7.159502708,0.998878224,-0.353274837
22,120,7.15950275,0.998877934,-0.353281341
22,120,7.159502792,0.998877643,-0.353287846
22,120,7.159502833,0.998877352,-0.353294354
22,120,7.159502875,0.998877061,-0.353300865
22,120,7.159502917,0.998876769,-0.353307378
22,120,7.159502958,0.998876478,-0.353313894
22,120,7.159503,0.998876186,-0.353320411
22,120,7.159503042,0.998875895,-0.353326932
22,120,7.159503083,0.998875603,-0.353333455
22,120,7.159503125,0.998875311,-0.35333998
22,120,7.159503167,0.998875018,-0.353346508
