G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
22,200,7.095,0.963050824,2.725570188
22,200,7.095000615,0.963050744,2.725569835
22,200,7.09500123,0.963050664,2.725569483
22,200,7.095001844,0.963050583,2.72556913
22,200,7.095002459,0.963050503,2.725568778
22,200,7.095003074,0.963050423,2.725568425
22,200,7.095003689,0.963050343,2.725568072
22,200,7.095004303,0.963050262,2.72556772
22,200,7.095004918,0.963050182,2.725567367
22,200,7.095005533,0.963050102,2.725567014
22,200,7.095006148,0.963050022,2.725566661
22,200,7.095006762,0.963049941,2.725566308
22,200,7.095007377,0.963049861,2.725565956
22,200,7.095007992,0.963049781,2.725565603
22,200,7.095008607,0.9630497,2.72556525
22,200,7.095009221,0.96304962,2.725564897
22,200,7.095009836,0.96304954,2.725564544
22,200,7.095010451,0.963049459,2.72556419
22,200,7.095011066,0.963049379,2.725563837
22,200,7.09501168,0.963049299,2.725563484
22,200,7.095012295,0.963049218,2.725563131
22,200,7.09501291,0.963049138,2.725562777
22,200,7.095013525,0.963049058,2.725562424
22,200,7.095014139,0.963048977,2.725562071
22,200,7.095014754,0.963048897,2.725561717
22,200,7.095015369,0.963048816,2.725561364
22,200,7.095015984,0.963048736,2.72556101
22,200,7.095016598,0.963048655,2.725560657
22,200,7.095017213,0.963048575,2.725560303
22,200,7.095017828,0.963048494,2.72555995
22,200,7.095018443,0.963048414,2.725559596
22,200,7.095019057,0.963048333,2.725559242
22,200,7.095019672,0.963048253,2.725558889
22,200,7.095020287,0.963048172,2.725558535
22,200,7.095020902,0.963048092,2.725558181
22,200,7.095021516,0.963048011,2.725557827
22,200,7.095022131,0.963047931,2.725557473
22,200,7.095022746,0.96304785,2.725557119
22,200,7.095023361,0.96304777,2.725556765
22,200,7.095023975,0.963047689,2.725556411
22,200,7.09502459,0.963047609,2.725556057
22,200,7.095025205,0.963047528,2.725555703
22,200,7.09502582,0.963047447,2.725555349
22,200,7.095026434,0.963047367,2.725554994
22,200,7.095027049,0.963047286,2.72555464
22,200,7.095027664,0.963047205,2.725554286
22,200,7.095028279,0.963047125,2.725553932
22,200,7.095028893,0.963047044,2.725553577
22,200,7.095029508,0.963046963,2.725553223
22,200,7.095030123,0.963046883,2.725552868
22,200,7.095030738,0.963046802,2.725552514
22,200,7.095031352,0.963046721,2.725552159
22,200,7.095031967,0.963046641,2.725551805
22,200,7.095032582,0.96304656,2.72555145
22,200,7.095033197,0.963046479,2.725551095
22,200,7.095033811,0.963046399,2.72555074
22,200,7.095034426,0.963046318,2.725550386
22,200,7.095035041,0.963046237,2.725550031
22,200,7.095035656,0.963046156,2.725549676
22,200,7.09503627,0.963046075,2.725549321
22,200,7.095036885,0.963045995,2.725548966
22,200,7.0950375,0.963045914,2.725548611
22,200,7.095038115,0.963045833,2.725548256
22,200,7.09503873,0.963045752,2.725547901
22,200,7.095039344,0.963045671,2.725547546
22,200,7.095039959,0.963045591,2.725547191
22,200,7.095040574,0.96304551,2.725546836
22,200,7.095041189,0.963045429,2.72554648
22,200,7.095041803,0.963045348,2.725546125
22,200,7.095042418,0.963045267,2.72554577
22,200,7.095043033,0.963045186,2.725545414
22,200,7.095043648,0.963045105,2.725545059
22,200,7.095044262,0.963045024,2.725544704
22,200,7.095044877,0.963044943,2.725544348
22,200,7.095045492,0.963044862,2.725543993
22,200,7.095046107,0.963044782,2.725543637
22,200,7.095046721,0.963044701,2.725543281
22,200,7.095047336,0.96304462,2.725542926
22,200,7.095047951,0.963044539,2.72554257
22,200,7.095048566,0.963044458,2.725542214
22,200,7.09504918,0.963044377,2.725541859
22,200,7.095049795,0.963044296,2.725541503
22,200,7.09505041,0.963044215,2.725541147
22,200,7.095051025,0.963044134,2.725540791
22,200,7.095051639,0.963044053,2.725540435
22,200,7.095052254,0.963043971,2.725540079
22,200,7.095052869,0.96304389,2.725539723
22,200,7.095053484,0.963043809,2.725539367
22,200,7.095054098,0.963043728,2.725539011
22,200,7.095054713,0.963043647,2.725538654
22,200,7.095055328,0.963043566,2.725538298
22,200,7.095055943,0.963043485,2.725537942
22,200,7.095056557,0.963043404,2.725537586
22,200,7.095057172,0.963043323,2.725537229
22,200,7.095057787,0.963043242,2.725536873
22,200,7.095058402,0.96304316,2.725536517
22,200,7.095059016,0.963043079,2.72553616
22,200,7.095059631,0.963042998,2.725535804
22,200,7.095060246,0.963042917,2.725535447
22,200,7.095060861,0.963042836,2.72553509
22,200,7.095061475,0.963042754,2.725534734
22,200,7.09506209,0.963042673,2.725534377
22,200,7.095062705,0.963042592,2.72553402
22,200,7.09506332,0.963042511,2.725533664
22,200,7.095063934,0.96304243,2.725533307
22,200,7.095064549,0.963042348,2.72553295
22,200,7.095065164,0.963042267,2.725532593
22,200,7.095065779,0.963042186,2.725532236
22,200,7.095066393,0.963042104,2.725531879
22,200,7.095067008,0.963042023,2.725531522
22,200,7.095067623,0.963041942,2.725531165
22,200,7.095068238,0.963041861,2.725530808
22,200,7.095068852,0.963041779,2.725530451
22,200,7.095069467,0.963041698,2.725530093
22,200,7.095070082,0.963041616,2.725529736
22,200,7.095070697,0.963041535,2.725529379
22,200,7.095071311,0.963041454,2.725529022
22,200,7.095071926,0.963041372,2.725528664
22,200,7.095072541,0.963041291,2.725528307
22,200,7.095073156,0.96304121,2.725527949
22,200,7.09507377,0.963041128,2.725527592
22,200,7.095074385,0.963041047,2.725527234
22,200,7.095075,0.963040965,2.725526877
22,200,7.095075615,0.963040884,2.725526519
22,200,7.09507623,0.963040802,2.725526161
22,200,7.095076844,0.963040721,2.725525804
22,200,7.095077459,0.963040639,2.725525446
22,200,7.095078074,0.963040558,2.725525088
22,200,7.095078689,0.963040476,2.72552473
22,200,7.095079303,0.963040395,2.725524372
22,200,7.095079918,0.963040313,2.725524014
22,200,7.095080533,0.963040232,2.725523656
22,200,7.095081148,0.96304015,2.725523298
22,200,7.095081762,0.963040069,2.72552294
22,200,7.095082377,0.963039987,2.725522582
22,200,7.095082992,0.963039906,2.725522224
22,200,7.095083607,0.963039824,2.725521866
22,200,7.095084221,0.963039742,2.725521508
22,200,7.095084836,0.963039661,2.725521149
22,200,7.095085451,0.963039579,2.725520791
22,200,7.095086066,0.963039498,2.725520433
22,200,7.09508668,0.963039416,2.725520074
22,200,7.095087295,0.963039334,2.725519716
22,200,7.09508791,0.963039253,2.725519357
22,200,7.095088525,0.963039171,2.725518999
22,200,7.095089139,0.963039089,2.72551864
22,200,7.095089754,0.963039008,2.725518282
22,200,7.095090369,0.963038926,2.725517923
22,200,7.095090984,0.963038844,2.725517564
22,200,7.095091598,0.963038763,2.725517206
22,200,7.095092213,0.963038681,2.725516847
22,200,7.095092828,0.963038599,2.725516488
22,200,7.095093443,0.963038517,2.725516129
22,200,7.095094057,0.963038436,2.72551577
22,200,7.095094672,0.963038354,2.725515411
22,200,7.095095287,0.963038272,2.725515052
22,200,7.095095902,0.96303819,2.725514693
22,200,7.095096516,0.963038108,2.725514334
22,200,7.095097131,0.963038027,2.725513975
22,200,7.095097746,0.963037945,2.725513616
22,200,7.095098361,0.963037863,2.725513256
22,200,7.095098975,0.963037781,2.725512897
22,200,7.09509959,0.963037699,2.725512538
22,200,7.095100205,0.963037617,2.725512179
22,200,7.09510082,0.963037535,2.725511819
22,200,7.095101434,0.963037454,2.72551146
22,200,7.095102049,0.963037372,2.7255111
22,200,7.095102664,0.96303729,2.725510741
22,200,7.095103279,0.963037208,2.725510381
22,200,7.095103893,0.963037126,2.725510021
22,200,7.095104508,0.963037044,2.725509662
22,200,7.095105123,0.963036962,2.725509302
22,200,7.095105738,0.96303688,2.725508942
22,200,7.095106352,0.963036798,2.725508583
22,200,7.095106967,0.963036716,2.725508223
22,200,7.095107582,0.963036634,2.725507863
22,200,7.095108197,0.963036552,2.725507503
22,200,7.095108811,0.96303647,2.725507143
22,200,7.095109426,0.963036388,2.725506783
22,200,7.095110041,0.963036306,2.725506423
22,200,7.095110656,0.963036224,2.725506063
22,200,7.09511127,0.963036142,2.725505703
22,200,7.095111885,0.96303606,2.725505342
22,200,7.0951125,0.963035978,2.725504982
22,200,7.095113115,0.963035896,2.725504622
22,200,7.09511373,0.963035814,2.725504262
22,200,7.095114344,0.963035731,2.725503901
22,200,7.095114959,0.963035649,2.725503541
22,200,7.095115574,0.963035567,2.72550318
22,200,7.095116189,0.963035485,2.72550282
22,200,7.095116803,0.963035403,2.725502459
22,200,7.095117418,0.963035321,2.725502099
22,200,7.095118033,0.963035239,2.725501738
22,200,7.095118648,0.963035156,2.725501378
22,200,7.095119262,0.963035074,2.725501017
22,200,7.095119877,0.963034992,2.725500656
22,200,7.095120492,0.96303491,2.725500295
22,200,7.095121107,0.963034828,2.725499935
22,200,7.095121721,0.963034745,2.725499574
22,200,7.095122336,0.963034663,2.725499213
22,200,7.095122951,0.963034581,2.725498852
22,200,7.095123566,0.963034499,2.725498491
22,200,7.09512418,0.963034416,2.72549813
22,200,7.095124795,0.963034334,2.725497769
22,200,7.09512541,0.963034252,2.725497407
22,200,7.095126025,0.963034169,2.725497046
22,200,7.095126639,0.963034087,2.725496685
22,200,7.095127254,0.963034005,2.725496324
22,200,7.095127869,0.963033922,2.725495962
22,200,7.095128484,0.96303384,2.725495601
22,200,7.095129098,0.963033758,2.72549524
22,200,7.095129713,0.963033675,2.725494878
22,200,7.095130328,0.963033593,2.725494517
22,200,7.095130943,0.963033511,2.725494155
