G_CP [um],L_CP [um],Freq [GHz],"mag(S(2,1)) []","ang_rad(S(2,1)) []"
6,200,7.107308569,0.985723543,-0.525418781
6,200,7.107308577,0.985718361,-0.525449626
6,200,7.107308586,0.985713177,-0.525480482
6,200,7.107308594,0.985707989,-0.525511348
6,200,7.107308602,0.985702799,-0.525542225
6,200,7.107308611,0.985697607,-0.525573112
6,200,7.107308619,0.985692411,-0.52560401
6,200,7.107308627,0.985687213,-0.525634918
6,200,7.107308636,0.985682012,-0.525665836
6,200,7.107308644,0.985676809,-0.525696765
6,200,7.107308652,0.985671603,-0.525727705
6,200,7.107308661,0.985666394,-0.525758655
6,200,7.107308669,0.985661182,-0.525789615
6,200,7.107308677,0.985655968,-0.525820586
6,200,7.107308686,0.98565075,-0.525851568
6,200,7.107308694,0.985645531,-0.52588256
6,200,7.107308702,0.985640308,-0.525913563
6,200,7.107308711,0.985635083,-0.525944576
6,200,7.107308719,0.985629855,-0.5259756
6,200,7.107308727,0.985624624,-0.526006634
6,200,7.107308736,0.985619391,-0.526037679
6,200,7.107308744,0.985614155,-0.526068734
6,200,7.107308752,0.985608916,-0.5260998
6,200,7.107308761,0.985603674,-0.526130877
6,200,7.107308769,0.98559843,-0.526161964
6,200,7.107308777,0.985593183,-0.526193061
6,200,7.107308786,0.985587933,-0.52622417
6,200,7.107308794,0.98558268,-0.526255289
6,200,7.107308802,0.985577425,-0.526286418
6,200,7.107308811,0.985572167,-0.526317558
6,200,7.107308819,0.985566906,-0.526348709
6,200,7.107308827,0.985561643,-0.52637987
6,200,7.107308836,0.985556376,-0.526411042
6,200,7.107308844,0.985551107,-0.526442224
6,200,7.107308852,0.985545836,-0.526473417
6,200,7.107308861,0.985540561,-0.526504621
6,200,7.107308869,0.985535284,-0.526535836
6,200,7.107308877,0.985530004,-0.526567061
6,200,7.107308886,0.985524721,-0.526598296
6,200,7.107308894,0.985519435,-0.526629543
6,200,7.107308902,0.985514147,-0.5266608
6,200,7.107308911,0.985508856,-0.526692067
6,200,7.107308919,0.985503562,-0.526723346
6,200,7.107308927,0.985498265,-0.526754635
6,200,7.107308936,0.985492966,-0.526785934
6,200,7.107308944,0.985487664,-0.526817245
6,200,7.107308952,0.985482359,-0.526848566
6,200,7.107308961,0.985477051,-0.526879898
6,200,7.107308969,0.98547174,-0.52691124
6,200,7.107308977,0.985466427,-0.526942593
6,200,7.107308986,0.985461111,-0.526973957
6,200,7.107308994,0.985455792,-0.527005332
6,200,7.107309002,0.985450471,-0.527036717
6,200,7.107309011,0.985445146,-0.527068113
6,200,7.107309019,0.985439819,-0.52709952
6,200,7.107309027,0.985434489,-0.527130938
6,200,7.107309036,0.985429156,-0.527162366
6,200,7.107309044,0.98542382,-0.527193805
6,200,7.107309052,0.985418482,-0.527225255
6,200,7.107309061,0.985413141,-0.527256716
6,200,7.107309069,0.985407797,-0.527288187
6,200,7.107309077,0.98540245,-0.527319669
6,200,7.107309086,0.9853971,-0.527351162
6,200,7.107309094,0.985391748,-0.527382666
6,200,7.107309102,0.985386393,-0.52741418
6,200,7.107309111,0.985381034,-0.527445705
