"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
16,200,7.111,-0.460972155540792,0.992846697881825
16,200,7.111015,-0.461403145140304,0.992799079964974
16,200,7.11103,-0.461838170632133,0.99275082903971
16,200,7.111045,-0.462277288910124,0.992701933537326
16,200,7.11106,-0.462720557939337,0.992652381621024
16,200,7.111075,-0.4631680367813,0.992602161178401
16,200,7.11109,-0.463619785620052,0.992551259813673
16,200,7.111105,-0.46407586578878,0.99249966483966
16,200,7.11112,-0.46453633979737,0.992447363269485
16,200,7.111135,-0.465001271360446,0.992394341808035
16,200,7.11115,-0.465470725426815,0.992340586843064
16,200,7.111165,-0.465944768209125,0.992286084436073
16,200,7.11118,-0.466423467214708,0.992230820312834
16,200,7.111195,-0.466906891277372,0.992174779853604
16,200,7.11121,-0.467395110589859,0.992117948083019
16,200,7.111225,-0.467888196737589,0.992060309659608
16,200,7.11124,-0.468386222733253,0.99200184886497
16,200,7.111255,-0.468889263052283,0.991942549592583
16,200,7.11127,-0.469397393669722,0.991882395336186
16,200,7.111285,-0.469910692097927,0.991821369177795
16,200,7.1113,-0.470429237425507,0.99175945377527
16,200,7.111315,-0.470953110357591,0.991696631349439
16,200,7.11133,-0.471482393256883,0.991632883670811
16,200,7.111345,-0.472017170186649,0.991568192045734
16,200,7.11136,-0.472557526954417,0.991502537302126
16,200,7.111375,-0.473103551157424,0.991435899774648
16,200,7.11139,-0.473655332229262,0.991368259289367
16,200,7.111405,-0.474212961488093,0.99129959514784
16,200,7.11142,-0.474776532186336,0.991229886110621
16,200,7.111435,-0.475346139562037,0.99115911038015
16,200,7.11145,-0.475921880891703,0.991087245583025
16,200,7.111465,-0.47650385554492,0.991014268751606
16,200,7.11148,-0.477092165040813,0.990940156304913
16,200,7.111495,-0.477686913106217,0.990864884028823
16,200,7.11151,-0.478288205735551,0.990788427055541
16,200,7.111525,-0.478896151253214,0.990710759842214
16,200,7.11154,-0.479510860377558,0.990631856148789
16,200,7.111555,-0.480132446286915,0.990551689015029
16,200,7.11157,-0.480761024688355,0.990470230736564
16,200,7.111585,-0.481396713888048,0.990387452840103
16,200,7.1116,-0.482039634864613,0.990303326057594
16,200,7.111615,-0.48268991134438,0.990217820299444
16,200,7.11163,-0.483347669879857,0.990130904626585
16,200,7.111645,-0.484013039930141,0.990042547221537
16,200,7.11166,-0.484686153944732,0.989952715358218
16,200,7.111675,-0.485367147449836,0.989861375370596
16,200,7.11169,-0.486056159137902,0.989768492620042
16,200,7.111705,-0.486753330959856,0.989674031461411
16,200,7.11172,-0.487458808221447,0.989577955207614
16,200,7.111735,-0.488172739682038,0.989480226092859
16,200,7.11175,-0.488895277657391,0.989380805234308
16,200,7.111765,-0.489626578126157,0.989279652592135
16,200,7.11178,-0.490366800839967,0.989176726927921
16,200,7.111795,-0.491116109437649,0.989071985761303
16,200,7.11181,-0.49187467156352,0.98896538532477
16,200,7.111825,-0.492642658990164,0.988856880516527
16,200,7.11184,-0.49342024774548,0.988746424851352
16,200,7.111855,-0.494207618244587,0.98863397040932
16,200,7.11187,-0.495004955426567,0.988519467782311
16,200,7.111885,-0.495812448896564,0.988402866018137
16,200,7.1119,-0.496630293072558,0.988284112562312
16,200,7.111915,-0.497458687338697,0.988163153197105
16,200,7.11193,-0.498297836203762,0.98803993197798
16,200,7.111945,-0.499147949465679,0.987914391167187
16,200,7.11196,-0.500009242382853,0.987786471164294
16,200,7.111975,-0.5008819358519,0.987656110433612
16,200,7.11199,-0.501766256592033,0.987523245428326
16,200,7.112005,-0.502662437337303,0.987387810511077
16,200,7.11202,-0.503570717035879,0.987249737870936
16,200,7.112035,-0.504491341057745,0.987108957436439
16,200,7.11205,-0.505424561410118,0.986965396784655
16,200,7.112065,-0.506370636962258,0.986818981045841
16,200,7.11208,-0.507329833678892,0.986669632803655
